Monero 'Wolfram Warptangent' (v0.10.0.0-34fcfcd)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/foo.log
2016-Oct-27 05:45:06.260806 Loading wallet...
2016-Oct-27 05:45:06.294075 Loaded wallet keys file, with public address: 48aPXdzu2Qt1KVVuPUunjeVTm6zf6Vg3kf38VhSCunCzQjWBzH3rpJjSwDgnE8ocJWYGeEqhEoBWqeoVwbyYs3se6cGdjTx
2016-Oct-27 05:45:06.409713 Trying to decrypt cache data
2016-Oct-27 05:45:07.848549 Block is already in blockchain: 0f65eb9f364716c55251f16afa49b1926102bdf22f45fa7de9b4e11dbd6a883d
2016-Oct-27 05:45:08.266175 Processed block: <efd221a35bf52bc86d1d5a9af6805ecdff5923bd185f3dda7d7128c397925523>, height 1166381, 4(0/4)ms
2016-Oct-27 05:45:08.266590 Processed block: <4a352428099b5ce561a59ac001ee921ff5f753b7be8376f98e01cebebd4b2243>, height 1166382, 0(0/0)ms
2016-Oct-27 05:45:08.271297 Processed block: <33729282c3764fc77d8768691564aab3373c8978caa9d05eb05a094fd24f2999>, height 1166383, 4(0/4)ms
2016-Oct-27 05:45:08.271705 Processed block: <ea77148e9e69e45b7be598a0c86882247a9906a46b9687f0a1b3f32044592f65>, height 1166384, 1(1/0)ms
2016-Oct-27 05:45:08.273828 Processed block: <b8d9ecf188fe42d73394416297c4bb5a15b1c0d3505a783928fef1a47fb32ba8>, height 1166385, 2(0/2)ms
2016-Oct-27 05:45:08.283017 Processed block: <09fa4d003908137c41ee3a02e5905e4ca130fdb3fbcf2cd30d40351c9476d799>, height 1166386, 9(0/9)ms
2016-Oct-27 05:45:08.283570 Processed block: <3c4040f0c22d6d0da5e349b392c1f3e5cb90b2a20959cbc6c5ed671a76c00448>, height 1166387, 0(0/0)ms
2016-Oct-27 05:45:08.283962 Processed block: <a6edb3d9821aabb86371255f0270cf128f859a4e3d3751c437f9f556d2d56ff5>, height 1166388, 1(1/0)ms
2016-Oct-27 05:45:08.286278 Processed block: <1842ee48e7379c166584f5c51b1b95a3abe7fc729de4c02c7664419514bb6f0c>, height 1166389, 2(0/2)ms
2016-Oct-27 05:45:08.294447 Processed block: <59bac9b97aeafcdd9d41fa216a168d46bb90bed9a11cbfdf7d568f28d0ee1da6>, height 1166390, 8(1/7)ms
