Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:41.766268 Skipped block by height: 256000
2016-Oct-05 22:52:41.766341 Skipped block by height: 257000
2016-Oct-05 22:52:41.766418 Skipped block by height: 258000
2016-Oct-05 22:52:41.766496 Skipped block by height: 259000
2016-Oct-05 22:52:42.155348 Skipped block by height: 260000
2016-Oct-05 22:52:42.155682 Skipped block by height: 261000
2016-Oct-05 22:52:42.155762 Skipped block by height: 262000
2016-Oct-05 22:52:42.160194 Skipped block by height: 263000
2016-Oct-05 22:52:42.160262 Skipped block by height: 264000
2016-Oct-05 22:52:42.160293 Skipped block by height: 265000
2016-Oct-05 22:52:42.160323 Skipped block by height: 266000
2016-Oct-05 22:52:42.160364 Skipped block by height: 267000
2016-Oct-05 22:52:42.160396 Skipped block by height: 268000
2016-Oct-05 22:52:42.160424 Skipped block by height: 269000
2016-Oct-05 22:52:42.568181 Skipped block by height: 270000
2016-Oct-05 22:52:42.568530 Skipped block by height: 271000
2016-Oct-05 22:52:42.568590 Skipped block by height: 272000
2016-Oct-05 22:52:42.568649 Skipped block by height: 273000
2016-Oct-05 22:52:42.568706 Skipped block by height: 274000
2016-Oct-05 22:52:42.568763 Skipped block by height: 275000
2016-Oct-05 22:52:42.568820 Skipped block by height: 276000
2016-Oct-05 22:52:42.568877 Skipped block by height: 277000
2016-Oct-05 22:52:42.568934 Skipped block by height: 278000
2016-Oct-05 22:52:42.568989 Skipped block by height: 279000
2016-Oct-05 22:52:42.947699 Skipped block by height: 280000
2016-Oct-05 22:52:42.947960 Skipped block by height: 281000
2016-Oct-05 22:52:42.948020 Skipped block by height: 282000
2016-Oct-05 22:52:42.948075 Skipped block by height: 283000
2016-Oct-05 22:52:42.948133 Skipped block by height: 284000
2016-Oct-05 22:52:42.948190 Skipped block by height: 285000
2016-Oct-05 22:52:42.948246 Skipped block by height: 286000
2016-Oct-05 22:52:42.948301 Skipped block by height: 287000
2016-Oct-05 22:52:42.948358 Skipped block by height: 288000
2016-Oct-05 22:52:42.948414 Skipped block by height: 289000
2016-Oct-05 22:52:43.288389 Skipped block by height: 290000
2016-Oct-05 22:52:43.288646 Skipped block by height: 291000
2016-Oct-05 22:52:43.288706 Skipped block by height: 292000
2016-Oct-05 22:52:43.288771 Skipped block by height: 293000
2016-Oct-05 22:52:43.288829 Skipped block by height: 294000
2016-Oct-05 22:52:43.288888 Skipped block by height: 295000
2016-Oct-05 22:52:43.288946 Skipped block by height: 296000
2016-Oct-05 22:52:43.289012 Skipped block by height: 297000
2016-Oct-05 22:52:43.289092 Skipped block by height: 298000
2016-Oct-05 22:52:43.289156 Skipped block by height: 299000
2016-Oct-05 22:52:43.651158 Skipped block by height: 300000
2016-Oct-05 22:52:43.651438 Skipped block by height: 301000
2016-Oct-05 22:52:43.651505 Skipped block by height: 302000
2016-Oct-05 22:52:43.651603 Skipped block by height: 303000
